,Indicator_EN,Indicator_AR,Variable_EN - Final Discharge,Variable_AR - Final Discharge,Unit_EN,Unit_AR,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value
87,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2016,2016,350198
88,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Total ,المجموع ,2016,2016,20925634.11515743
89,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,%,%,Total %,المجموع %,2016,2016,2.854581822046288
90,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2015,2015,332259663.194759
91,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2015,2015,242452657.52
92,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2015,2015,88988217
93,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2015,2015,28061563
94,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2015,2015,0
95,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2015,2015,12834951.25
96,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2015,2015,6411865
97,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2015,2015,711008916.964759
98,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2015,2015,100
99,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2015,2015,170807938.628207
100,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2015,2015,211471625.231444
101,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2015,2015,57278355.000000015
